Camera,Timestamp,Year,Month,Total Offenses,Total Unique Offenders,New Offenders This Month,Repeat Offenders,Repeat Offenders Within The Year,Repeat Offenders Within Past 6 Months,Repeat Offenders Within The Month
10318 S INDIANAPOLIS,1,2014,2,764,665,665,99,99,99,99
10318 S INDIANAPOLIS,2,2014,3,3658,2827,2162,732,732,732,535
10318 S INDIANAPOLIS,3,2014,4,7155,5181,2354,1143,1143,1143,494
10318 S INDIANAPOLIS,4,2014,5,10305,7227,2046,1104,1104,1104,327
10318 S INDIANAPOLIS,5,2014,6,12779,8907,1680,794,794,794,230
10318 S INDIANAPOLIS,6,2014,7,14818,10245,1338,701,701,701,170
10318 S INDIANAPOLIS,7,2014,8,16964,11716,1471,675,675,675,163
10318 S INDIANAPOLIS,8,2014,9,19186,13179,1463,759,759,755,231
10318 S INDIANAPOLIS,9,2014,10,21242,14552,1373,683,683,644,173
10318 S INDIANAPOLIS,10,2014,11,22999,15758,1206,551,551,503,109
10318 S INDIANAPOLIS,11,2014,12,24363,16695,937,427,427,384,71
10318 S INDIANAPOLIS,12,2015,1,25579,17530,835,381,381,313,73
10318 S INDIANAPOLIS,13,2015,2,26531,18158,628,324,324,268,73
10318 S INDIANAPOLIS,14,2015,3,28063,19214,1056,476,475,383,110
10318 S INDIANAPOLIS,15,2015,4,29709,20331,1117,529,511,421,115
10318 S INDIANAPOLIS,16,2015,5,31509,21538,1207,593,561,443,142
10318 S INDIANAPOLIS,17,2015,6,32793,22406,868,416,395,322,79
10318 S INDIANAPOLIS,18,2015,7,34206,23364,958,455,429,360,133
10318 S INDIANAPOLIS,19,2015,8,35592,24242,878,508,468,406,91
10318 S INDIANAPOLIS,20,2015,9,36499,24879,637,270,243,208,33
10318 S INDIANAPOLIS,21,2015,10,37595,25623,744,352,309,265,72
10318 S INDIANAPOLIS,22,2015,11,38316,26142,519,202,171,145,27
10318 S INDIANAPOLIS,23,2015,12,39109,26679,537,256,218,175,31
10318 S INDIANAPOLIS,24,2016,1,39881,27220,541,231,191,149,52
10318 S INDIANAPOLIS,25,2016,2,40629,27747,527,221,176,139,34
10318 S INDIANAPOLIS,26,2016,3,41370,28285,538,203,169,128,34
10318 S INDIANAPOLIS,27,2016,4,42688,29151,866,452,384,301,103
10318 S INDIANAPOLIS,28,2016,5,44009,30025,874,447,381,325,77
10318 S INDIANAPOLIS,29,2016,6,45292,30901,876,407,323,291,93
10318 S INDIANAPOLIS,30,2016,7,46482,31705,804,386,320,269,65
10318 S INDIANAPOLIS,31,2016,8,47506,32388,683,341,278,251,47
10318 S INDIANAPOLIS,32,2016,9,48723,33219,831,386,316,278,95
10318 S INDIANAPOLIS,33,2016,10,49946,34044,825,398,321,292,71
10318 S INDIANAPOLIS,34,2016,11,51124,34817,773,405,324,296,62
10318 S INDIANAPOLIS,35,2016,12,52196,35484,667,405,329,288,60
10318 S INDIANAPOLIS,36,2017,1,53163,36139,655,312,254,211,40
10318 S INDIANAPOLIS,37,2017,2,54145,36797,658,324,260,218,48
10318 S INDIANAPOLIS,38,2017,3,55193,37519,722,326,272,220,57
10318 S INDIANAPOLIS,39,2017,4,56322,38246,727,402,336,287,84
10318 S INDIANAPOLIS,40,2017,5,57312,38904,658,332,269,233,44
10318 S INDIANAPOLIS,41,2017,6,58500,39714,810,378,321,270,67
10318 S INDIANAPOLIS,42,2017,7,59746,40552,838,408,320,277,64
10318 S INDIANAPOLIS,43,2017,8,61033,41437,885,402,322,269,64
10318 S INDIANAPOLIS,44,2017,9,62625,42519,1082,510,388,328,94
10318 S INDIANAPOLIS,45,2017,10,63273,42965,446,202,161,142,18
10318 S INDIANAPOLIS,46,2017,11,65144,44273,1308,563,429,344,107
10318 S INDIANAPOLIS,47,2017,12,66126,44944,671,311,242,204,30
10318 S INDIANAPOLIS,48,2018,1,67000,45520,576,298,229,183,39
10318 S INDIANAPOLIS,49,2018,2,68127,46273,753,374,289,245,62
10318 S INDIANAPOLIS,50,2018,3,69927,47487,1214,586,468,407,110
10318 S INDIANAPOLIS,51,2018,4,71388,48475,988,473,381,308,79
10318 S INDIANAPOLIS,51,2018,5,71388,48475,0,0,0,0,0
1110 S PULASKI RD,1,2014,10,246,242,242,4,4,4,4
1110 S PULASKI RD,2,2014,11,495,474,232,17,17,17,8
1110 S PULASKI RD,3,2014,12,667,639,165,7,7,7,2
1110 S PULASKI RD,4,2015,1,948,901,262,19,19,19,10
1110 S PULASKI RD,5,2015,2,1178,1118,217,13,13,13,3
1110 S PULASKI RD,6,2015,3,1596,1504,386,32,32,32,8
1110 S PULASKI RD,7,2015,4,1902,1779,275,31,31,31,7
1110 S PULASKI RD,8,2015,5,2337,2182,403,32,32,31,10
1110 S PULASKI RD,9,2015,6,2756,2545,363,56,56,53,15
1110 S PULASKI RD,9,2015,7,2756,2545,0,0,0,0,0
1110 S PULASKI RD,9,2015,8,2756,2545,0,0,0,0,0
1110 S PULASKI RD,10,2015,9,3182,2922,377,49,49,47,26
1110 S PULASKI RD,11,2015,10,3549,3250,328,39,39,37,7
1110 S PULASKI RD,12,2015,11,3698,3382,132,17,17,14,3
1110 S PULASKI RD,13,2015,12,3776,3452,70,8,8,7,1
1110 S PULASKI RD,14,2016,1,3881,3549,97,8,8,8,0
1110 S PULASKI RD,15,2016,2,4036,3693,144,11,10,8,2
1110 S PULASKI RD,16,2016,3,4183,3819,126,21,21,16,4
1110 S PULASKI RD,17,2016,4,4296,3916,97,16,14,12,3
1110 S PULASKI RD,18,2016,5,4393,4001,85,12,9,4,3
1110 S PULASKI RD,19,2016,6,4505,4099,98,14,14,10,0
1110 S PULASKI RD,19,2016,7,4505,4099,0,0,0,0,0
1110 S PULASKI RD,19,2016,8,4505,4099,0,0,0,0,0
1110 S PULASKI RD,20,2016,9,4761,4319,220,36,33,24,12
1110 S PULASKI RD,21,2016,10,4957,4496,177,19,17,13,1
1110 S PULASKI RD,22,2016,11,5081,4606,110,14,13,12,1
1110 S PULASKI RD,23,2016,12,5206,4711,105,20,18,15,4
1110 S PULASKI RD,24,2017,1,5256,4754,43,7,6,6,1
1110 S PULASKI RD,25,2017,2,5370,4861,107,7,5,1,1
1110 S PULASKI RD,26,2017,3,5558,5038,177,11,10,7,1
1110 S PULASKI RD,27,2017,4,5648,5119,81,9,7,6,1
1110 S PULASKI RD,28,2017,5,5884,5334,215,21,19,15,3
1110 S PULASKI RD,29,2017,6,6062,5484,150,28,22,18,2
1110 S PULASKI RD,29,2017,7,6062,5484,0,0,0,0,0
1110 S PULASKI RD,29,2017,8,6062,5484,0,0,0,0,0
1110 S PULASKI RD,30,2017,9,6292,5690,206,24,21,18,7
1110 S PULASKI RD,31,2017,10,6495,5869,179,24,22,22,7
1110 S PULASKI RD,32,2017,11,6603,5962,93,15,13,12,0
1110 S PULASKI RD,33,2017,12,6705,6045,83,19,12,10,1
1110 S PULASKI RD,34,2018,1,6801,6131,86,10,9,6,3
1110 S PULASKI RD,35,2018,2,6940,6255,124,15,12,8,1
1110 S PULASKI RD,36,2018,3,7121,6422,167,14,13,12,3
1110 S PULASKI RD,37,2018,4,7275,6554,132,22,19,15,4
1110 S PULASKI RD,38,2018,5,7276,6555,1,0,0,0,0
1111 N HUMBOLDT,1,2014,1,317,285,285,32,32,32,32
1111 N HUMBOLDT,2,2014,2,755,664,379,59,59,59,28
1111 N HUMBOLDT,3,2014,3,1621,1354,690,176,176,176,100
1111 N HUMBOLDT,4,2014,4,2614,2137,783,210,210,210,83
1111 N HUMBOLDT,5,2014,5,3662,2973,836,212,212,212,71
1111 N HUMBOLDT,6,2014,6,4689,3799,826,201,201,201,61
1111 N HUMBOLDT,7,2014,7,5815,4696,897,229,229,229,67
1111 N HUMBOLDT,8,2014,8,6903,5576,880,208,208,199,54
1111 N HUMBOLDT,9,2014,9,7748,6234,658,187,187,181,39
1111 N HUMBOLDT,10,2014,10,8660,6971,737,175,175,165,39
1111 N HUMBOLDT,11,2014,11,9706,7815,844,202,202,184,34
1111 N HUMBOLDT,12,2014,12,10743,8650,835,202,202,174,46
1111 N HUMBOLDT,13,2015,1,11327,9116,466,118,118,104,16
1111 N HUMBOLDT,14,2015,2,11903,9587,471,105,104,83,16
1111 N HUMBOLDT,15,2015,3,12748,10252,665,180,177,135,30
1111 N HUMBOLDT,16,2015,4,13639,10962,710,181,178,135,30
1111 N HUMBOLDT,17,2015,5,14696,11817,855,202,190,137,37
1111 N HUMBOLDT,18,2015,6,15526,12495,678,152,147,122,31
1111 N HUMBOLDT,19,2015,7,16534,13303,808,200,186,145,39
1111 N HUMBOLDT,20,2015,8,17627,14163,860,233,214,171,43
1111 N HUMBOLDT,21,2015,9,18563,14948,785,151,136,106,32
1111 N HUMBOLDT,22,2015,10,19633,15821,873,197,179,153,38
1111 N HUMBOLDT,23,2015,11,20543,16550,729,181,159,122,25
1111 N HUMBOLDT,24,2015,12,21328,17178,628,157,133,111,19
1111 N HUMBOLDT,25,2016,1,22072,17766,588,156,133,114,14
1111 N HUMBOLDT,26,2016,2,22856,18372,606,178,149,125,33
1111 N HUMBOLDT,27,2016,3,23821,19131,759,206,185,147,30
1111 N HUMBOLDT,28,2016,4,24755,19869,738,196,168,123,36
1111 N HUMBOLDT,29,2016,5,25605,20550,681,169,139,112,27
1111 N HUMBOLDT,30,2016,6,26469,21275,725,139,116,97,18
1111 N HUMBOLDT,31,2016,7,27442,22052,777,196,166,138,35
1111 N HUMBOLDT,32,2016,8,28536,22883,831,263,213,179,55
1111 N HUMBOLDT,33,2016,9,29554,23643,760,258,207,178,50
1111 N HUMBOLDT,34,2016,10,30619,24467,824,241,193,160,43
1111 N HUMBOLDT,35,2016,11,31654,25278,811,224,174,134,21
1111 N HUMBOLDT,36,2016,12,32528,25964,686,188,148,117,22
1111 N HUMBOLDT,37,2017,1,33411,26644,680,203,168,139,24
1111 N HUMBOLDT,38,2017,2,34324,27383,739,174,143,122,29
1111 N HUMBOLDT,39,2017,3,35165,28054,671,170,123,108,33
1111 N HUMBOLDT,40,2017,4,36245,28915,861,219,177,141,48
1111 N HUMBOLDT,41,2017,5,37326,29772,857,224,172,142,26
1111 N HUMBOLDT,42,2017,6,38203,30479,707,170,131,110,28
1111 N HUMBOLDT,43,2017,7,39182,31257,778,201,149,112,30
1111 N HUMBOLDT,44,2017,8,40292,32117,860,250,200,157,46
1111 N HUMBOLDT,45,2017,9,41371,32986,869,210,163,128,30
1111 N HUMBOLDT,46,2017,10,42398,33796,810,217,173,139,28
1111 N HUMBOLDT,47,2017,11,43326,34541,745,183,149,127,31
1111 N HUMBOLDT,48,2017,12,44323,35326,785,212,175,137,14
1111 N HUMBOLDT,49,2018,1,45169,35962,636,210,168,135,18
1111 N HUMBOLDT,50,2018,2,45753,36414,452,132,105,85,15
1111 N HUMBOLDT,51,2018,3,46564,37046,632,179,147,117,20
1111 N HUMBOLDT,52,2018,4,47256,37597,551,141,105,82,20
1111 N HUMBOLDT,52,2018,5,47256,37597,0,0,0,0,0
11144 S VINCENNES,1,2014,2,87,84,84,3,3,3,3
11144 S VINCENNES,2,2014,3,493,456,372,34,34,34,24
11144 S VINCENNES,3,2014,4,901,818,362,46,46,46,19
11144 S VINCENNES,4,2014,5,1662,1472,654,107,107,107,61
11144 S VINCENNES,5,2014,6,2029,1794,322,45,45,45,8
11144 S VINCENNES,5,2014,7,2029,1794,0,0,0,0,0
11144 S VINCENNES,5,2014,8,2029,1794,0,0,0,0,0
11144 S VINCENNES,6,2014,9,2203,1948,154,20,20,20,3
11144 S VINCENNES,7,2014,10,2343,2078,130,10,10,10,4
11144 S VINCENNES,8,2014,11,2424,2149,71,10,10,10,0
11144 S VINCENNES,9,2014,12,2510,2230,81,5,5,5,0
11144 S VINCENNES,10,2015,1,2614,2319,89,15,15,13,2
11144 S VINCENNES,11,2015,2,2693,2387,68,11,11,8,1
11144 S VINCENNES,12,2015,3,2914,2574,187,34,34,22,8
11144 S VINCENNES,13,2015,4,3111,2748,174,23,23,13,2
11144 S VINCENNES,14,2015,5,3348,2944,196,41,40,28,7
11144 S VINCENNES,15,2015,6,3548,3123,179,21,20,13,0
11144 S VINCENNES,15,2015,7,3548,3123,0,0,0,0,0
11144 S VINCENNES,15,2015,8,3548,3123,0,0,0,0,0
11144 S VINCENNES,16,2015,9,3829,3367,244,37,37,31,19
11144 S VINCENNES,17,2015,10,4142,3637,270,43,39,37,7
11144 S VINCENNES,18,2015,11,4363,3828,191,30,26,23,4
11144 S VINCENNES,19,2015,12,4521,3969,141,17,13,10,0
11144 S VINCENNES,20,2016,1,4697,4105,136,40,38,35,3
11144 S VINCENNES,21,2016,2,4899,4268,163,39,37,32,4
11144 S VINCENNES,22,2016,3,5157,4488,220,38,29,21,3
11144 S VINCENNES,23,2016,4,5337,4630,142,38,34,26,4
11144 S VINCENNES,24,2016,5,5716,4954,324,55,48,38,12
11144 S VINCENNES,25,2016,6,5960,5154,200,44,38,29,3
11144 S VINCENNES,25,2016,7,5960,5154,0,0,0,0,0
11144 S VINCENNES,25,2016,8,5960,5154,0,0,0,0,0
11144 S VINCENNES,26,2016,9,6145,5318,164,21,18,16,3
11144 S VINCENNES,27,2016,10,6300,5446,128,27,24,20,1
11144 S VINCENNES,28,2016,11,6409,5537,91,18,14,13,2
11144 S VINCENNES,29,2016,12,6523,5632,95,19,16,14,2
11144 S VINCENNES,30,2017,1,6602,5701,69,10,8,8,0
11144 S VINCENNES,31,2017,2,6725,5801,100,23,20,14,4
11144 S VINCENNES,32,2017,3,6921,5965,164,32,25,21,6
11144 S VINCENNES,33,2017,4,7052,6079,114,17,15,13,3
11144 S VINCENNES,34,2017,5,7337,6327,248,37,29,21,4
11144 S VINCENNES,35,2017,6,7547,6504,177,33,28,20,2
11144 S VINCENNES,36,2017,7,7764,6697,193,24,18,14,4
11144 S VINCENNES,37,2017,8,7794,6726,29,1,1,1,0
11144 S VINCENNES,38,2017,9,8059,6945,219,46,36,30,15
11144 S VINCENNES,39,2017,10,8327,7158,213,55,43,40,11
11144 S VINCENNES,40,2017,11,8510,7301,143,40,32,28,2
11144 S VINCENNES,41,2017,12,8640,7406,105,25,18,15,5
11144 S VINCENNES,42,2018,1,8778,7523,117,21,14,11,4
11144 S VINCENNES,43,2018,2,8961,7668,145,38,27,21,2
11144 S VINCENNES,44,2018,3,9264,7916,248,55,39,33,13
11144 S VINCENNES,45,2018,4,9594,8192,276,54,43,33,7
11144 S VINCENNES,45,2018,5,9594,8192,0,0,0,0,0
11153 S VINCENNES,1,2014,2,41,39,39,2,2,2,2
11153 S VINCENNES,2,2014,3,181,169,130,10,10,10,9
11153 S VINCENNES,3,2014,4,347,315,146,20,20,20,4
11153 S VINCENNES,4,2014,5,656,587,272,37,37,37,16
11153 S VINCENNES,5,2014,6,779,690,103,20,20,20,5
11153 S VINCENNES,5,2014,7,779,690,0,0,0,0,0
11153 S VINCENNES,5,2014,8,779,690,0,0,0,0,0
11153 S VINCENNES,6,2014,9,878,784,94,5,5,5,1
11153 S VINCENNES,7,2014,10,940,837,53,9,9,9,1
11153 S VINCENNES,8,2014,11,975,869,32,3,3,3,0
11153 S VINCENNES,9,2014,12,1019,907,38,6,6,6,1
11153 S VINCENNES,10,2015,1,1056,942,35,2,2,1,0
11153 S VINCENNES,11,2015,2,1128,1011,69,3,3,1,1
11153 S VINCENNES,12,2015,3,1256,1120,109,19,19,13,5
11153 S VINCENNES,13,2015,4,1384,1232,112,16,16,11,2
11153 S VINCENNES,14,2015,5,1528,1357,125,19,19,14,0
11153 S VINCENNES,15,2015,6,1656,1469,112,16,16,13,3
11153 S VINCENNES,15,2015,7,1656,1469,0,0,0,0,0
11153 S VINCENNES,15,2015,8,1656,1469,0,0,0,0,0
11153 S VINCENNES,16,2015,9,1792,1593,124,12,12,10,2
11153 S VINCENNES,17,2015,10,1938,1718,125,21,21,17,4
11153 S VINCENNES,18,2015,11,2041,1807,89,14,11,11,4
11153 S VINCENNES,19,2015,12,2133,1887,80,12,10,7,2
11153 S VINCENNES,20,2016,1,2244,1976,89,22,20,15,4
11153 S VINCENNES,21,2016,2,2334,2052,76,14,14,11,3
11153 S VINCENNES,22,2016,3,2458,2161,109,15,14,13,2
11153 S VINCENNES,23,2016,4,2525,2213,52,15,15,10,1
11153 S VINCENNES,24,2016,5,2654,2324,111,18,15,12,4
11153 S VINCENNES,25,2016,6,2745,2411,87,4,4,3,0
11153 S VINCENNES,25,2016,7,2745,2411,0,0,0,0,0
11153 S VINCENNES,25,2016,8,2745,2411,0,0,0,0,0
11153 S VINCENNES,26,2016,9,2824,2485,74,5,5,3,1
11153 S VINCENNES,27,2016,10,2908,2558,73,11,10,10,3
11153 S VINCENNES,28,2016,11,2995,2634,76,11,10,10,1
11153 S VINCENNES,29,2016,12,3076,2700,66,15,13,12,2
11153 S VINCENNES,30,2017,1,3098,2718,18,4,4,3,0
11153 S VINCENNES,31,2017,2,3158,2772,54,6,3,2,0
11153 S VINCENNES,32,2017,3,3253,2852,80,15,12,11,2
11153 S VINCENNES,33,2017,4,3312,2904,52,7,5,4,1
11153 S VINCENNES,34,2017,5,3408,2985,81,15,8,6,1
11153 S VINCENNES,35,2017,6,3514,3076,91,15,11,10,1
11153 S VINCENNES,36,2017,7,3601,3156,80,7,6,6,4
11153 S VINCENNES,37,2017,8,3616,3169,13,2,1,1,0
11153 S VINCENNES,38,2017,9,3722,3264,95,11,8,6,2
11153 S VINCENNES,39,2017,10,3820,3350,86,12,8,6,4
11153 S VINCENNES,40,2017,11,3909,3424,74,15,11,9,3
11153 S VINCENNES,41,2017,12,4016,3511,87,20,19,14,4
11153 S VINCENNES,42,2018,1,4122,3598,87,19,17,15,2
11153 S VINCENNES,43,2018,2,4210,3674,76,12,12,11,2
11153 S VINCENNES,44,2018,3,4330,3771,97,23,18,18,3
11153 S VINCENNES,45,2018,4,4482,3901,130,22,20,18,5
11153 S VINCENNES,45,2018,5,4482,3901,0,0,0,0,0
1117 S PULASKI RD,1,2014,10,168,165,165,3,3,3,3
1117 S PULASKI RD,2,2014,11,454,437,272,14,14,14,8
1117 S PULASKI RD,3,2014,12,648,619,182,12,12,12,8
1117 S PULASKI RD,4,2015,1,792,757,138,6,6,6,2
1117 S PULASKI RD,5,2015,2,937,893,136,9,9,9,2
1117 S PULASKI RD,6,2015,3,1191,1126,233,21,21,21,5
1117 S PULASKI RD,7,2015,4,1444,1363,237,16,16,16,3
1117 S PULASKI RD,8,2015,5,1831,1709,346,41,41,40,11
1117 S PULASKI RD,9,2015,6,2118,1969,260,27,27,27,8
1117 S PULASKI RD,9,2015,7,2118,1969,0,0,0,0,0
1117 S PULASKI RD,9,2015,8,2118,1969,0,0,0,0,0
1117 S PULASKI RD,10,2015,9,2564,2354,385,61,61,59,39
1117 S PULASKI RD,11,2015,10,3038,2741,387,87,87,85,31
1117 S PULASKI RD,12,2015,11,3258,2935,194,26,26,25,2
1117 S PULASKI RD,13,2015,12,3416,3075,140,18,18,17,2
1117 S PULASKI RD,14,2016,1,3578,3215,140,22,22,20,3
1117 S PULASKI RD,15,2016,2,3716,3342,127,11,11,9,1
1117 S PULASKI RD,16,2016,3,3835,3451,109,10,10,7,1
1117 S PULASKI RD,17,2016,4,3895,3507,56,4,4,3,1
1117 S PULASKI RD,18,2016,5,4009,3617,110,4,3,1,0
1117 S PULASKI RD,19,2016,6,4164,3762,145,10,7,7,1
1117 S PULASKI RD,19,2016,7,4164,3762,0,0,0,0,0
1117 S PULASKI RD,19,2016,8,4164,3762,0,0,0,0,0
1117 S PULASKI RD,20,2016,9,4399,3975,213,22,21,20,9
1117 S PULASKI RD,21,2016,10,4555,4109,134,22,19,14,5
1117 S PULASKI RD,22,2016,11,4666,4208,99,12,11,11,2
1117 S PULASKI RD,23,2016,12,4744,4279,71,7,7,5,2
1117 S PULASKI RD,24,2017,1,4769,4303,24,1,1,1,0
1117 S PULASKI RD,25,2017,2,4825,4355,52,4,4,4,2
1117 S PULASKI RD,26,2017,3,4907,4433,78,4,4,4,2
1117 S PULASKI RD,27,2017,4,4998,4520,87,4,2,2,0
1117 S PULASKI RD,28,2017,5,5173,4684,164,11,9,6,0
1117 S PULASKI RD,29,2017,6,5273,4773,89,11,9,5,1
1117 S PULASKI RD,29,2017,7,5273,4773,0,0,0,0,0
1117 S PULASKI RD,29,2017,8,5273,4773,0,0,0,0,0
1117 S PULASKI RD,30,2017,9,5480,4963,190,17,15,15,9
1117 S PULASKI RD,31,2017,10,5699,5166,203,16,12,9,6
1117 S PULASKI RD,32,2017,11,5852,5306,140,13,11,11,3
1117 S PULASKI RD,33,2017,12,5974,5416,110,12,6,4,0
1117 S PULASKI RD,34,2018,1,6065,5503,87,4,4,4,2
1117 S PULASKI RD,35,2018,2,6150,5582,79,6,6,5,2
1117 S PULASKI RD,36,2018,3,6253,5673,91,12,9,7,3
1117 S PULASKI RD,37,2018,4,6381,5786,113,15,13,11,2
1117 S PULASKI RD,37,2018,5,6381,5786,0,0,0,0,0
1142 W IRVING PARK,1,2014,1,182,171,171,11,11,11,11
1142 W IRVING PARK,2,2014,2,734,663,492,60,60,60,43
1142 W IRVING PARK,3,2014,3,1755,1536,873,148,148,148,82
1142 W IRVING PARK,4,2014,4,3147,2708,1172,220,220,220,76
1142 W IRVING PARK,5,2014,5,4521,3893,1185,189,189,189,68
1142 W IRVING PARK,6,2014,6,5748,4937,1044,183,183,183,53
1142 W IRVING PARK,7,2014,7,7355,6275,1338,269,269,269,88
1142 W IRVING PARK,8,2014,8,8898,7561,1286,257,257,257,70
1142 W IRVING PARK,9,2014,9,10337,8759,1198,241,241,236,54
1142 W IRVING PARK,10,2014,10,11887,10029,1270,280,280,266,48
1142 W IRVING PARK,11,2014,11,13239,11143,1114,238,238,205,31
1142 W IRVING PARK,12,2014,12,14607,12273,1130,238,238,204,24
1142 W IRVING PARK,13,2015,1,15777,13237,964,206,206,166,24
1142 W IRVING PARK,14,2015,2,16486,13825,588,121,121,89,14
1142 W IRVING PARK,15,2015,3,17668,14789,964,218,215,153,30
1142 W IRVING PARK,16,2015,4,19021,15906,1117,236,234,174,46
1142 W IRVING PARK,17,2015,5,20206,16873,967,218,208,162,32
1142 W IRVING PARK,18,2015,6,21270,17764,891,173,163,112,27
1142 W IRVING PARK,19,2015,7,22535,18839,1075,190,175,132,32
1142 W IRVING PARK,20,2015,8,23953,20005,1166,252,226,181,53
1142 W IRVING PARK,21,2015,9,25151,20985,980,218,189,159,28
1142 W IRVING PARK,22,2015,10,26665,22238,1253,261,219,180,44
1142 W IRVING PARK,23,2015,11,27875,23234,996,214,179,135,32
1142 W IRVING PARK,24,2015,12,29262,24368,1134,253,208,168,26
1142 W IRVING PARK,25,2016,1,30405,25292,924,219,190,149,25
1142 W IRVING PARK,26,2016,2,31443,26144,852,186,140,111,23
1142 W IRVING PARK,27,2016,3,32571,27068,924,204,174,143,31
1142 W IRVING PARK,28,2016,4,33781,28070,1002,208,170,133,24
1142 W IRVING PARK,29,2016,5,35013,29068,998,234,179,133,29
1142 W IRVING PARK,30,2016,6,36171,30013,945,213,173,140,47
1142 W IRVING PARK,31,2016,7,37480,31072,1059,250,203,161,42
1142 W IRVING PARK,32,2016,8,38773,32109,1037,256,214,185,56
1142 W IRVING PARK,33,2016,9,39967,33082,973,221,178,155,47
1142 W IRVING PARK,34,2016,10,41435,34293,1211,257,199,156,26
1142 W IRVING PARK,35,2016,11,42847,35434,1141,271,213,174,38
1142 W IRVING PARK,36,2016,12,44110,36456,1022,241,188,144,20
1142 W IRVING PARK,37,2017,1,45289,37386,930,249,198,161,36
1142 W IRVING PARK,38,2017,2,46432,38321,935,208,164,129,31
1142 W IRVING PARK,39,2017,3,47404,39113,792,180,132,104,21
1142 W IRVING PARK,40,2017,4,48420,39950,837,179,133,107,29
1142 W IRVING PARK,41,2017,5,49625,40921,971,234,169,121,26
1142 W IRVING PARK,42,2017,6,50596,41709,788,183,136,104,28
1142 W IRVING PARK,43,2017,7,51844,42694,985,263,203,158,48
1142 W IRVING PARK,44,2017,8,52940,43550,856,240,184,151,48
1142 W IRVING PARK,45,2017,9,54123,44458,908,275,214,169,42
1142 W IRVING PARK,46,2017,10,55450,45514,1056,271,192,154,37
1142 W IRVING PARK,47,2017,11,56858,46655,1141,267,194,146,29
1142 W IRVING PARK,48,2017,12,58137,47684,1029,250,171,132,34
1142 W IRVING PARK,49,2018,1,59338,48628,944,257,190,154,40
1142 W IRVING PARK,50,2018,2,60261,49360,732,191,141,113,23
1142 W IRVING PARK,51,2018,3,61415,50268,908,246,185,148,37
1142 W IRVING PARK,52,2018,4,62561,51187,919,227,149,117,24
1142 W IRVING PARK,52,2018,5,62561,51187,0,0,0,0,0
115 N OGDEN,1,2014,3,563,527,527,36,36,36,36
115 N OGDEN,2,2014,4,1488,1276,749,176,176,176,88
115 N OGDEN,3,2014,5,2552,2164,888,176,176,176,82
115 N OGDEN,4,2014,6,4202,3496,1332,318,318,318,137
115 N OGDEN,5,2014,7,4758,3939,443,113,113,113,23
115 N OGDEN,6,2014,8,5156,4263,324,74,74,74,11
115 N OGDEN,7,2014,9,5563,4601,338,69,69,69,21
115 N OGDEN,8,2014,10,6297,5214,613,121,121,120,24
115 N OGDEN,9,2014,11,7105,5907,693,115,115,102,18
115 N OGDEN,10,2014,12,7857,6511,604,148,148,125,28
115 N OGDEN,11,2015,1,8216,6804,293,66,66,53,7
115 N OGDEN,12,2015,2,8696,7189,385,95,95,73,13
115 N OGDEN,13,2015,3,9283,7686,497,90,90,61,9
115 N OGDEN,14,2015,4,10046,8334,648,115,112,80,19
115 N OGDEN,15,2015,5,11141,9204,870,225,213,159,40
115 N OGDEN,16,2015,6,12107,9979,775,191,181,138,38
115 N OGDEN,17,2015,7,12233,10077,98,28,26,19,2
115 N OGDEN,18,2015,8,12439,10243,166,40,34,25,2
115 N OGDEN,19,2015,9,13013,10705,462,112,97,79,25
115 N OGDEN,20,2015,10,13668,11248,543,112,101,73,15
115 N OGDEN,21,2015,11,14023,11544,296,59,49,37,8
115 N OGDEN,22,2015,12,14782,12150,606,153,135,94,23
115 N OGDEN,23,2016,1,15486,12702,552,152,132,98,20
115 N OGDEN,24,2016,2,16140,13227,525,129,110,75,14
115 N OGDEN,25,2016,3,17190,14059,832,218,186,144,26
115 N OGDEN,26,2016,4,18157,14826,767,200,167,135,26
115 N OGDEN,27,2016,5,18412,15024,198,57,46,38,4
115 N OGDEN,28,2016,6,18610,15183,159,39,33,26,6
115 N OGDEN,29,2016,7,18966,15474,291,65,44,35,10
115 N OGDEN,30,2016,8,19309,15738,264,79,55,42,15
115 N OGDEN,31,2016,9,20187,16449,711,167,129,83,18
115 N OGDEN,32,2016,10,20908,17008,559,162,118,81,21
115 N OGDEN,33,2016,11,22086,17911,903,275,212,151,35
115 N OGDEN,34,2016,12,22883,18539,628,169,127,92,13
115 N OGDEN,35,2017,1,23602,19087,548,171,134,110,13
115 N OGDEN,36,2017,2,24666,19918,831,233,183,155,30
115 N OGDEN,37,2017,3,25275,20394,476,133,94,83,15
115 N OGDEN,38,2017,4,26128,21044,650,203,157,132,27
115 N OGDEN,39,2017,5,26623,21432,388,107,90,76,13
115 N OGDEN,40,2017,6,27212,21899,467,122,87,65,14
115 N OGDEN,41,2017,7,27789,22357,458,119,94,77,16
115 N OGDEN,42,2017,8,28050,22566,209,52,45,30,4
115 N OGDEN,43,2017,9,28254,22729,163,41,30,22,3
115 N OGDEN,44,2017,10,28701,23080,351,96,77,45,11
115 N OGDEN,45,2017,11,29592,23787,707,184,145,92,26
115 N OGDEN,46,2017,12,30412,24438,651,169,120,89,22
115 N OGDEN,47,2018,1,31145,25008,570,163,119,87,15
115 N OGDEN,48,2018,2,31591,25356,348,98,80,62,3
